index;hl3_0;hl3_1;hl3_2;hl3_3;hl3_4;hl3_5;hl3_6;hl3_7;hl3_8;hl3_9;hl3_10
hl4_0;1000;30;33;32;32.7;33.6;35.1;38;1000;1000;1000
hl4_1;1000;29.8;32.8;31.8;32.5;33.4;34.9;37.6;1000;1000;1000
hl4_2;1000;29.6;32.6;31.6;32.5;33.2;34.7;37.4;1000;1000;1000
hl4_3;1000;29.4;32.4;31.4;32.3;33;34.5;37.4;1000;1000;1000
hl4_4;1000;29.2;32.2;31.3;32.3;33;34.5;37.2;1000;1000;1000
hl4_5;1000;29;32;31.1;32.1;32.8;34.2;37;1000;1000;1000
hl4_6;1000;28.8;31.8;31.1;31.9;32.8;34.2;37;1000;1000;1000
hl4_7;1000;28.7;31.6;31;31.9;32.8;34.2;1000;1000;1000;1000
hl4_8;1000;28.7;31.6;31;31.9;32.8;34.2;1000;1000;1000;1000
hl4_9;1000;28.5;31.5;31;31.9;1000;34.2;1000;1000;1000;1000
hl4_10;1000;28.4;1000;1000;1000;1000;1000;1000;1000;1000;1000